Price History: IWF-US,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
12/13/2019,172.38,2444122,0.33,171.9,172.38,172.38,172.38,197.79,0.33,301.52
12/12/2019,171.81,2121644,0.55,170.79,170.43,172.4,171.85,197.14,0.55,300.19
12/11/2019,170.87,1132968,0.36,170.58,170.18,171.01,170.91,196.06,0.36,298
12/10/2019,170.25,1528723,-0.11,170.64,169.94,170.91,170.24,195.35,-0.11,296.56
12/9/2019,170.43,1482229,-0.36,170.89,170.4,171.32,170.46,195.55,-0.36,296.98
12/6/2019,171.05,1871652,0.83,170.91,170.7,171.29,171.08,196.26,0.83,298.42
12/5/2019,169.65,1382144,0.13,169.86,168.86,169.92,169.6,194.66,0.13,295.16
12/4/2019,169.43,1119872,0.54,169.35,169.1,169.84,169.4,194.4,0.54,294.65
12/3/2019,168.52,2005567,-0.58,167.6,167.02,168.64,168.54,193.36,-0.58,292.53
12/2/2019,169.51,1532001,-1.12,171.58,168.89,171.66,169.39,194.5,-1.12,294.84
11/29/2019,171.43,592334,-0.39,171.74,171.32,171.97,171.35,196.7,-0.39,299.31
11/27/2019,172.1,1848259,0.57,171.68,171.37,172.11,172.05,197.47,0.57,300.87
11/26/2019,171.12,1281145,0.36,170.61,170.51,171.35,171.15,196.34,0.36,298.59
11/25/2019,170.5,932413,1.03,169.43,169.01,170.53,170.5,195.63,1.03,297.14
11/22/2019,168.76,981466,0.09,168.96,168.04,169.05,168.74,193.64,0.09,293.09
11/21/2019,168.61,1586792,-0.33,169.24,168.32,169.25,168.57,193.46,-0.33,292.74
11/20/2019,169.17,1836034,-0.34,169.63,168.09,170.1,169.18,194.11,-0.34,294.04
11/19/2019,169.74,909357,0.21,170,169.23,170.33,169.76,194.76,0.21,295.37
11/18/2019,169.39,1687009,0.17,169,168.74,169.61,169.41,194.36,0.17,294.56
11/15/2019,169.1,1199905,0.85,168.65,168.06,169.17,169.14,194.03,0.85,293.88
11/14/2019,167.68,1185820,0.27,166.96,166.75,167.74,167.64,192.4,0.27,290.57
11/13/2019,167.23,1139296,0.12,166.65,166.5,167.5,167.27,191.88,0.12,289.53
11/12/2019,167.03,872926,0.32,166.69,166.53,167.51,167.04,191.65,0.32,289.06
11/11/2019,166.49,637835,-0.02,165.82,165.62,166.57,166.5,191.03,-0.02,287.8
11/8/2019,166.52,881247,0.4,165.64,165.41,166.52,166.56,191.07,0.4,287.87
11/7/2019,165.86,920195,0.32,166.1,165.56,166.74,165.87,190.31,0.32,286.33
11/6/2019,165.33,959792,0.04,165.28,164.62,165.4,165.36,189.7,0.04,285.1
11/5/2019,165.27,814902,-0.3,166.11,164.95,166.23,165.28,189.63,-0.3,284.96
11/4/2019,165.76,1069687,0.16,166.39,165.63,166.52,165.78,190.19,0.16,286.1
