Price History: IWD-US,,,,,,,,,,
,,,,,,,,,,
.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Price,CVol,% Change,Open,Low,High,NAV,Total Return (Gross),% Return,Cumulative Return %
12/13/2019,135.47,3801997,-0.31,135.91,135.02,136.38,135.48,170.29,-0.31,196.41
12/12/2019,135.89,2042307,1.13,134.52,134.41,136.17,135.88,170.82,1.13,197.33
12/11/2019,134.37,2035689,0.11,134.33,134.12,134.65,134.36,168.9,0.11,194
12/10/2019,134.22,2233949,-0.07,134.3,133.88,134.5,134.19,168.72,-0.07,193.67
12/9/2019,134.31,1787158,-0.27,134.57,134.31,134.78,134.32,168.83,-0.27,193.87
12/6/2019,134.67,2950378,0.88,134.37,134.35,135.01,134.69,169.28,0.88,194.66
12/5/2019,133.49,1677717,0.2,133.56,132.86,133.56,133.45,167.8,0.2,192.08
12/4/2019,133.22,1903204,0.76,132.76,132.55,133.5,133.19,167.46,0.76,191.49
12/3/2019,132.22,2062644,-0.83,132.27,131.43,132.34,132.23,166.2,-0.83,189.3
12/2/2019,133.32,2288061,-0.57,134.31,133.21,134.31,133.25,167.58,-0.57,191.71
11/29/2019,134.08,1579296,-0.39,134.46,133.97,134.58,134.07,168.54,-0.39,193.37
11/27/2019,134.61,1795992,0.37,134.47,134.17,134.72,134.63,169.21,0.37,194.53
11/26/2019,134.11,1791719,0.06,134.05,133.82,134.23,134.16,168.58,0.06,193.43
11/25/2019,134.03,1445726,0.58,133.7,133.63,134.08,134.05,168.48,0.58,193.26
11/22/2019,133.26,1994545,0.3,133.21,132.91,133.43,133.31,167.51,0.3,191.57
11/21/2019,132.86,1875587,-0.02,133.02,132.41,133.07,132.85,167.01,-0.02,190.7
11/20/2019,132.88,3477238,-0.29,133.01,132.24,133.21,132.86,167.03,-0.29,190.74
11/19/2019,133.26,2380969,-0.19,133.79,133.04,133.79,133.24,167.51,-0.19,191.57
11/18/2019,133.52,1466026,-0.07,133.49,133.24,133.64,133.56,167.84,-0.07,192.14
11/15/2019,133.61,1825101,0.66,133.36,133.02,133.63,133.64,167.95,0.66,192.34
11/14/2019,132.73,1358553,0.02,132.68,132.25,132.87,132.74,166.84,0.02,190.41
11/13/2019,132.7,2481714,0.01,132.34,132,132.88,132.71,166.81,0.01,190.35
11/12/2019,132.69,1741192,-0.01,132.92,132.44,133.32,132.71,166.79,-0.01,190.33
11/11/2019,132.7,1503389,-0.32,132.57,132.38,132.81,132.74,166.81,-0.32,190.35
11/8/2019,133.12,2083326,0.17,132.86,132.27,133.12,133.12,167.33,0.17,191.27
11/7/2019,132.9,3433733,0.37,133.18,132.68,133.43,132.88,167.06,0.37,190.79
11/6/2019,132.41,1911177,0,132.5,132.07,132.62,132.44,166.44,0,189.71
11/5/2019,132.41,2315927,0.06,132.52,132.24,132.82,132.39,166.44,0.06,189.71
11/4/2019,132.33,2284337,0.61,132.37,131.98,132.45,132.31,166.34,0.61,189.54
